species,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation
Arbutus menziesii,38.415645,-122.598695,10.0,,
Arbutus menziesii,38.018904,-122.657393,21.0,,
Arbutus menziesii,43.364802,-124.320687,9.0,,
Arbutus menziesii,37.998169,-122.709572,4.0,,
Arbutus menziesii,48.5167,-123.581855,2.0,,
Arbutus menziesii,40.324895,-124.285147,5.0,,
Arbutus menziesii,49.20722,-123.968545,159.0,,
Arbutus menziesii,47.620823,-122.755036,10.0,,
Arbutus menziesii,37.842638,-122.197263,10.0,,
Arbutus menziesii,48.319807,-123.544025,244.0,,
Arbutus menziesii,45.581704,-122.745541,10.0,,
Arbutus menziesii,37.11555,-122.156808,6.0,,
Arbutus menziesii,44.028395,-123.160928,63.0,,
Arbutus menziesii,48.815017,-123.308128,6.0,,
Arbutus menziesii,38.414772,-122.579231,26.0,,
Arbutus menziesii,37.349847,-122.18595,5.0,,
Arbutus menziesii,42.93233,-122.99145,70.0,,
Arbutus menziesii,38.570514,-122.438943,7.0,,
Arbutus menziesii,37.242591,-122.035286,13.0,,
Arbutus menziesii,37.102431,-122.149972,10.0,,
Arbutus menziesii,44.071877,-123.112114,36.0,,
Arbutus menziesii,42.409675,-123.5457,141.0,,
Arbutus menziesii,45.577038,-122.739039,384.0,,
Arbutus menziesii,45.449706,-122.872393,3.0,,
Arbutus menziesii,37.94759,-122.625249,18.0,,
Arbutus menziesii,50.030678,-124.999053,4.0,,
Arbutus menziesii,48.555137,-123.505593,31.0,,
Arbutus menziesii,49.537827,-123.969667,6.0,,
Arbutus menziesii,48.775322,-123.366897,240.0,,
Arbutus menziesii,48.480983,-123.55227,48.0,,
Arbutus menziesii,48.930352,-123.476157,83.0,,
Arbutus menziesii,48.464092,-123.368133,4.0,,
Arbutus menziesii,47.794976,-122.231453,38.0,,
Arbutus menziesii,49.134446,-123.894409,2.0,,
Arbutus menziesii,45.386288,-122.83293,3.0,,
Arbutus menziesii,37.009041,-121.977419,194.0,,
